epoch,train loss,reg loss,train acc,test loss,test acc
28,"tensor(0.2134, device='cuda:0')",0.0,tensor(92.5720),"tensor(0.4057, device='cuda:0')",tensor(87.2900)
15,"tensor(0.9177, device='cuda:0')",0.0,tensor(69.7152),"tensor(0.4113, device='cuda:0')",tensor(87.8600)
28,"tensor(1.0859, device='cuda:0')",0.0,tensor(67.5812),"tensor(0.5614, device='cuda:0')",tensor(87.8100)
29,"tensor(0.2063, device='cuda:0')",0.0,tensor(92.7100),"tensor(0.3998, device='cuda:0')",tensor(87.6200)
16,"tensor(0.8750, device='cuda:0')",0.0,tensor(71.4866),"tensor(0.3834, device='cuda:0')",tensor(88.3700)
29,"tensor(1.0389, device='cuda:0')",0.0,tensor(69.4599),"tensor(0.4809, device='cuda:0')",tensor(88.6100)
30,"tensor(0.1990, device='cuda:0')",0.0,tensor(93.0500),"tensor(0.4731, device='cuda:0')",tensor(86.1500)
17,"tensor(0.8916, device='cuda:0')",0.0,tensor(70.4275),"tensor(0.4680, device='cuda:0')",tensor(86.0800)
30,"tensor(1.0326, device='cuda:0')",0.0,tensor(69.4752),"tensor(0.4699, device='cuda:0')",tensor(88.6300)
31,"tensor(0.1948, device='cuda:0')",0.0,tensor(93.1920),"tensor(0.4488, device='cuda:0')",tensor(86.4700)
18,"tensor(0.8602, device='cuda:0')",0.0,tensor(72.2035),"tensor(0.4429, device='cuda:0')",tensor(86.9000)
31,"tensor(1.0803, device='cuda:0')",0.0,tensor(67.2743),"tensor(0.5181, device='cuda:0')",tensor(88.0500)
32,"tensor(0.1903, device='cuda:0')",0.0,tensor(93.2740),"tensor(0.3625, device='cuda:0')",tensor(88.6500)
19,"tensor(0.8559, device='cuda:0')",0.0,tensor(71.6436),"tensor(0.4087, device='cuda:0')",tensor(87.6300)
32,"tensor(1.0571, device='cuda:0')",0.0,tensor(67.8318),"tensor(0.4177, device='cuda:0')",tensor(90.7600)
33,"tensor(0.1814, device='cuda:0')",0.0,tensor(93.6940),"tensor(0.4435, device='cuda:0')",tensor(86.6900)
33,"tensor(1.0361, device='cuda:0')",0.0,tensor(69.1084),"tensor(0.5096, device='cuda:0')",tensor(88.1700)
20,"tensor(0.8363, device='cuda:0')",0.0,tensor(72.8710),"tensor(0.4105, device='cuda:0')",tensor(88.1200)
34,"tensor(0.1785, device='cuda:0')",0.0,tensor(93.7380),"tensor(0.3852, device='cuda:0')",tensor(88.4500)
34,"tensor(1.0437, device='cuda:0')",0.0,tensor(69.1062),"tensor(0.4439, device='cuda:0')",tensor(89.4900)
21,"tensor(0.8388, device='cuda:0')",0.0,tensor(72.4397),"tensor(0.4343, device='cuda:0')",tensor(87.5100)
35,"tensor(0.1773, device='cuda:0')",0.0,tensor(93.8100),"tensor(0.3660, device='cuda:0')",tensor(88.7900)
35,"tensor(1.0318, device='cuda:0')",0.0,tensor(68.9265),"tensor(0.4401, device='cuda:0')",tensor(89.8500)
22,"tensor(0.8480, device='cuda:0')",0.0,tensor(72.6043),"tensor(0.3815, device='cuda:0')",tensor(88.7900)
36,"tensor(0.1700, device='cuda:0')",0.0,tensor(94.0780),"tensor(0.3573, device='cuda:0')",tensor(89.0500)
36,"tensor(1.0373, device='cuda:0')",0.0,tensor(68.6839),"tensor(0.4338, device='cuda:0')",tensor(89.5100)
23,"tensor(0.8241, device='cuda:0')",0.0,tensor(72.9661),"tensor(0.4264, device='cuda:0')",tensor(87.7400)
